// SpeechDictionaryTools uses this file to "teach" the Windows speech engine various Dovahzul words for use in Skyrim

// ------- VANILLA SHOUTS -------
// Source => https://elderscrolls.fandom.com/wiki/Dragon_Shouts
// Source => https://www.thuum.org/learn/grammar/alphabet.php

// ------- VOWEL REFERENCE -------
// Dovahzul		SAPI Phoneme	Examples
// A		 	ae				cat, past
// AA		 	aa				father, arm
// AE			ey				ate, may
// AH			aa 				father, arm
// AU			aw				how, now, brown, cow
// E			eh				ten, net
// EI			ay				why, ice
// EY			ey				ate, may
// I			iy				see, me
// II			iy				see, me
// IR			iy r			hear, leer
// O			ow				foe, go
// OO			ao				lore, door, caught
// U			uw				tool, crew
// UU			uw				tool, crew
// UR			uw r			lure, tour

// ------- WORDS & PHONEMES -------

// Animal Allegiance
Raan; r aa n
Mir; m iy r
Tah; t aa

// Aura Whisper
Laas; l aa s
Yah; y aa
Nir; n iy r

// Battle Fury
Mid; m iy d
Vur; v uw r
Shaan; sh aa n

// Become Ethereal ** Gron
Feim; f ay m
Zii; z iy
Gron; g r ow n

// Bend Will ** Gol
Gol; g ow l
Hah; h aa
Dov; d ow v

// Call Dragon
Od; ow d
Ah; aa
Viing; v iy ng

// Call of Valor
Hun; h uw n
Kaal; k aa l
Zoor; z ao r

// Clear Skies
Lok; l ow k
Vah; v aa
Koor; k ao r

// Cyclone
Ven; v eh n
Gaar; g aa r
Nos; n ow s 

// Disarm
Zun; z uw n
Haal; h aa l
Viik; v iy k

// Dismay
Faas; f aa s
Ru; r uw
Maar; m aa r

// Dragon Aspect
Mul; m uw l
Qah; k aa
Diiv; d iy v

// Dragonrend ** Joor
Joor; jh ao r
Zah; z aa
Frul; f r uw l

// Drain Vitality
Gaan; g aa n
Lah; l aa
Haas; h aa s

// Elemental Fury
Su; s uw
Grah; g r aa
Dun; d uw n

// Fire Breath
Yol; y ow l
Toor; t ao r
Shul; sh uw l

// Frost Breath
Fo; f ow
Krah; k r aa
Diin; d iy n

// Ice Form
Iiz; iy z
Slen; s l eh n
Nus; n uw s

// Kyne's Peace
Kaan; k aa n
Drem; d r eh m
Ov; ow v

// Marked for Death
Krii; k r iy
Lun; l uw n
Aus; aw s

// Slow Time
Tiid; t iy d
Klo; k l ow
Ul; uw l

// Soul Tear
Rii; r iy
Vaaz; v aa z
Zol; z ow l

// Storm Call
Strun; s t r uw n
Bah; b aa
Qo; k ow

// Summon Durnehviir
Dur; d uw r
Neh; n eh
Viir; v iy r

// Throw Voice ** Gut
Zul; z uw l
Mey; m ey
Gut; g uw t

// Unrelenting Force
Fus; f uw s
Ro; r ow
Dah; d aa

// Whirlwind Sprint
Wuld; w uh l d
Nah; n ah
Kest; k eh s t
